Column name,SHAP,XG booster Feature Importance,Feature Description
cons_homstat_Y,0, 0.05385 ,#N/A
cms_disabled_ind,0, 0.02342 ,Binary indicator that a Medicare Supplement member is under age 65
cms_ra_factor_type_cd_CN,0, 0.02127 ,#N/A
total_outpatient_visit_ct_pmpm,0, 0.01750 ,visits per month for overall claims related to outpatient facilities in the past one year
cms_low_income_ind,0, 0.01380 ,Binary indicator that a member is receiving a subsidy from CMS
total_physician_office_allowed_pmpm_cost,0.058586583, 0.01320 ,allowed cost per month for overall claims related to physician office in the past one year
total_physician_office_visit_ct_pmpm,0.008025129, 0.01254 ,visits per month for overall claims related to physician office in the past one year
med_physician_office_ds_clm,0, 0.01169 ,days since last claim for non-behavioral health claims related to physician office in the past one year
cmsd1_men_pmpm_ct,0, 0.01024 ,"claims per month related to mental, behavioral and neurodevelopmental disorders in the past one year {based on CMS diagnosis code level1}"
cmsd2_skn_radiation_pmpm_ct,0, 0.00992 ,claims per month related to diseases of the skin and subcutaneous tissue : radiation-related disorders of the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2}
cons_mobplus_U,0, 0.00983 ,#N/A
cms_frailty_ind,0, 0.00933 ,"Binary indicator that a member is deemed frail {specific diagnoses, multiple serious chronic conditions, functional impairments or other factors}"
est_age,0, 0.00889 ,"Member age {calculated using est_bday, relative to score/index date}"
cms_orig_reas_entitle_cd_1.0,0, 0.00872 ,#N/A
rev_pm_ivtrp_pmpm_cd_ct,0, 0.00868 ,claim lines per month for a revenue code related to intravenous therapy in the past one year
med_outpatient_ds_clm,0.3782772, 0.00815 ,days since last claim for non-behavioral health claims related to outpatient facilities in the past one year
cms_ra_factor_type_cd_E,0, 0.00790 ,#N/A
rev_pm_raddia_pmpm_cd_ct,0, 0.00777 ,claim lines per month for a revenue code related to radiology - diagnostic in the past one year
total_outpatient_ds_clm,0.003285597, 0.00741 ,days since last claim for overall claims related to outpatient facilities in the past one year
rev_pm_asc_pmpm_cd_ct,0, 0.00735 ,claim lines per month for a revenue code related to ambulatory surgical care in the past one year
rx_nonmail_pmpm_ct,0, 0.00697 ,count per month of prescriptions related to non mail drugs in the past one year
atlas_totalocchu,0.000114537, 0.00685 ,Total number of occupied housing units
cms_race_cd_1,0, 0.00674 ,#N/A
rx_days_since_last_script,0.003345899, 0.00667 ,days since last prescription in the past one year
rx_hum_75_pmpm_ct,0, 0.00655 ,count per month of prescriptions related to PAIN MGMT - MUSCLE RELAXANTS drugs in the past one year {Based on Humana drug classification}
cnt_cp_emails_10,0, 0.00654 ,count per month of member interactions via emails with a lag of _10 from the score date in the past one year
